[22/10/2017 0:10:23] /a 3
[22/10/2017 0:10:23] /a 3
[22/10/2017 0:10:23] /a 3
[22/10/2017 0:10:23] /a 3
[22/10/2017 0:10:23] /a 3
[22/10/2017 0:10:24] /a 3
[22/10/2017 0:10:24] /a 3
[22/10/2017 0:10:24] /a 3
[22/10/2017 0:10:25] /a 3
[22/10/2017 0:10:25] /a 3
[22/10/2017 0:10:25] /a 3
[22/10/2017 0:10:25] /a 3
[22/10/2017 0:10:25] /a 3
[22/10/2017 0:10:26] /a 3
[22/10/2017 0:10:26] /a 3
[22/10/2017 0:10:27] /a 3
[22/10/2017 0:10:27] /a 3
[22/10/2017 0:10:28] /a 3
[22/10/2017 0:10:29] /a 3
[22/10/2017 0:10:29] /a 3
[22/10/2017 0:15:50] /reload creaturescripts
[22/10/2017 0:15:56] /reload monsters
[22/10/2017 0:17:43] /reload creaturescripts
[22/10/2017 0:17:48] /reload monsters
[22/10/2017 0:21:1] /reload creaturescripts
[22/10/2017 0:21:12] /reload monsters
[22/10/2017 0:21:51] /a 3
[22/10/2017 0:21:51] /a 3
[22/10/2017 0:21:51] /a 3
[22/10/2017 0:21:52] /a 3
[22/10/2017 0:21:52] /a 3
[22/10/2017 0:21:52] /a 3
[22/10/2017 0:21:52] /a 3
[22/10/2017 0:21:53] /a 3
[22/10/2017 0:21:53] /a 3
[22/10/2017 0:21:55] /a 3
[22/10/2017 0:21:55] /a 3
[22/10/2017 0:21:55] /a 3
[22/10/2017 0:21:55] /a 3
[22/10/2017 0:21:56] /a 3
[22/10/2017 0:21:57] /a 3
[22/10/2017 0:21:57] /a 3
[22/10/2017 0:21:57] /a 3
[22/10/2017 0:21:58] /a 3
[22/10/2017 0:22:1] /a 3
[22/10/2017 0:22:1] /a 3
[22/10/2017 0:22:2] /a 3
[22/10/2017 0:22:2] /a 3
[22/10/2017 0:22:2] /a 3
[22/10/2017 0:22:3] /a 3
[22/10/2017 0:22:3] /a 3
[22/10/2017 0:22:3] /a 3
[22/10/2017 0:26:5] /r
[22/10/2017 0:26:5] /a 3
[22/10/2017 0:26:6] /a 3
[22/10/2017 0:26:6] /a 3
[22/10/2017 0:26:7] /a 3
[22/10/2017 0:26:7] /a 3
[22/10/2017 0:26:7] /a 3
[22/10/2017 0:26:8] /a 3
[22/10/2017 0:26:8] /a 3
[22/10/2017 0:28:47] /goto marcola
[22/10/2017 0:28:58] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:28:59] /a 3
[22/10/2017 0:29:0] /a 3
[22/10/2017 0:29:0] /a 3
[22/10/2017 0:29:0] /a 3
[22/10/2017 0:29:0] /a 3
[22/10/2017 0:29:0] /a 3
[22/10/2017 0:29:0] /a 3
[22/10/2017 0:29:0] /a 3
[22/10/2017 0:29:0] /a 3
[22/10/2017 0:29:0] /a 3
[22/10/2017 0:29:0] /a 3
[22/10/2017 0:29:0] /a 3
[22/10/2017 0:29:0] /a 3
[22/10/2017 0:29:0] /a 3
[22/10/2017 0:29:0] /a 3
[22/10/2017 0:29:0] /a 3
[22/10/2017 0:29:0] /a 3
[22/10/2017 0:29:0] /a 3
[22/10/2017 0:29:0] /a 3
[22/10/2017 0:29:0] /a 3
[22/10/2017 0:29:4] /a 3
[22/10/2017 0:29:5] /a 3
[22/10/2017 0:29:5] /a 3
[22/10/2017 0:29:5] /a 3
[22/10/2017 0:29:5] /a 3
[22/10/2017 0:29:5] /a 3
[22/10/2017 0:29:5] /a 3
[22/10/2017 0:29:5] /a 3
[22/10/2017 0:29:5] /a 3
[22/10/2017 0:29:5] /a 3
[22/10/2017 0:29:5] /a 3
[22/10/2017 0:29:5] /a 3
[22/10/2017 0:29:5] /a 3
[22/10/2017 0:29:5] /a 3
[22/10/2017 0:29:5] /a 3
[22/10/2017 0:29:6] /a 3
[22/10/2017 0:29:6] /a 3
[22/10/2017 0:29:6] /a 3
[22/10/2017 0:29:6] /a 3
[22/10/2017 0:29:6] /a 3
[22/10/2017 0:29:6] /a 3
[22/10/2017 0:29:6] /a 3
[22/10/2017 0:29:6] /a 3
[22/10/2017 0:29:6] /a 3
[22/10/2017 0:29:6] /a 3
[22/10/2017 0:29:6] /a 3
[22/10/2017 0:29:6] /a 3
[22/10/2017 0:29:6] /a 3
